Cat_Name;Breed;Personality_Trait;Image_Link;Backstory;Description
Milo;Siamese;Curious;https://cats.com/milo;Un gato siamés que fue rescatado de las calles;Milo es un felino inteligente y leal, siempre en busca de nuevas aventuras.
Whiskers;Maine Coon;Affectionate;https://cats.com/whiskers;Nacido en una granja, fue adoptado por una familia amorosa;Whiskers es grande pero gentil, le encanta acurrucarse en el regazo.
Bella;Persian;Calm;https://cats.com/bella;Rescatada de un refugio, ahora vive en un hogar tranquilo;Bella es una gata serena que disfruta de los ambientes pacíficos.
Oscar;Bengal;Energetic;https://cats.com/oscar;De pequeño fue el líder de su camada;Oscar es un gato activo y juguetón, siempre está corriendo y escalando.
Luna;Sphynx;Playful;https://cats.com/luna;Fue adoptada por una pareja joven que ama su carácter juguetón;Luna no tiene pelo, pero tiene una gran personalidad y amor por los juegos.
Charlie;Ragdoll;Gentle;https://cats.com/charlie;Un gato muy tranquilo, ideal para familias con niños pequeños;Charlie es conocido por su comportamiento dócil y su cariño hacia los humanos.
Shadow;Bombay;Mysterious;https://cats.com/shadow;Vive en un vecindario donde es conocido por su habilidad de desaparecer;Shadow es un gato negro con una habilidad especial para ser sigiloso.
Simba;Abyssinian;Adventurous;https://cats.com/simba;Le encanta explorar y descubrir nuevos lugares en la casa;Simba tiene un espíritu aventurero y un deseo constante de descubrir.
Chloe;Scottish Fold;Loyal;https://cats.com/chloe;Leal a su dueño, siempre está cerca para consolarlo;Chloe tiene orejas dobladas y una personalidad cariñosa.
Max;Russian Blue;Reserved;https://cats.com/max;A veces reservado, pero una vez que confía, es muy cariñoso;Max tiene una capa de pelo densa y es conocido por su independencia.
Nala;Burmese;Friendly;https://cats.com/nala;Le encanta socializar con humanos y otros animales;Nala es muy amigable y se lleva bien con todos.
Oliver;Siberian;Brave;https://cats.com/oliver;A pesar de su tamaño grande, es muy valiente y protector;Oliver es robusto, pero tiene un gran corazón y es valiente ante cualquier peligro.
Ginger;Exotic Shorthair;Lazy;https://cats.com/ginger;Pasa la mayor parte de su tiempo durmiendo en el sofá;Ginger es una gata relajada que disfruta de los largos periodos de descanso.
Tigger;Savannah;Inquisitive;https://cats.com/tigger;Le encanta investigar cualquier cosa que encuentre en su camino;Tigger es un gato extremadamente curioso y no deja nada sin explorar.
Lily;Turkish Angora;Graceful;https://cats.com/lily;Con su pelaje blanco y movimientos elegantes, es la reina de la casa;Lily tiene una gracia natural y siempre parece estar desfilando.